"","x"
"440","DA"
"441","DA"
"442","DA"
"443","DA"
"444","DA"
"445","DA"
"446","DA"
"447","DA"
"448","DA"
"449","DA"
"450","DA"
"451","DA"
"452","DA"
"453","DA"
"454","DA"
"455","DA"
"456","DA"
"457","DA"
"458","DA"
"459","DA"
"460","DA"
"461","DA"
"462","DA"
"463","DA"
"464","DA"
"465","DA"
"466","DA"
"467","DA"
"468","DA"
"469","DA"
"470","DA"
"471","DA"
"472","DA"
"473","DA"
"474","NE"
"475","DA"
"476","DA"
"477","DA"
"478","DA"
"479","DA"
"480","DA"
"481","DA"
"482","DA"
"483","DA"
"484","DA"
"485","DA"
"486","DA"
"487","DA"
"488","DA"
"489","DA"
"490","DA"
"491","DA"
"492","DA"
"493","DA"
"494","DA"
"495","DA"
"496","DA"
"497","DA"
"498","DA"
"499","DA"
"500","DA"
"501","DA"
"502","DA"
"503","DA"
"504","DA"
"505","DA"
"506","DA"
"507","DA"
"508","DA"
"509","DA"
"510","DA"
"511","DA"
"512","DA"
"513","NE"
"514","DA"
"515","DA"
"516","DA"
"517","DA"
"518","DA"
"519","DA"
"520","DA"
"521","DA"
"522","DA"
"523","DA"
"524","DA"
"525","DA"
"526","DA"
"527","DA"
"528","DA"
"529","DA"
"530","DA"
"531","DA"
"532","DA"
"533","DA"
"534","DA"
"535","DA"
"536","DA"
"537","DA"
"538","DA"
"539","DA"
"540","DA"
"541","DA"
"542","DA"
"543","DA"
"544","DA"
"545","DA"
"546","DA"
"547","DA"
"548","DA"
"549","DA"
"550","DA"
"551","DA"
"552","DA"
"553","DA"
"554","DA"
"555","DA"
"556","DA"
"557","DA"
"558","DA"
"559","DA"
"560","DA"
"561","DA"
"562","DA"
"563","DA"
"564","DA"
"565","DA"
"566","DA"
"567","DA"
"568","DA"
"569","DA"
"570","DA"
"571","DA"
"572","DA"
"573","DA"
"574","NE"
"575","DA"
"576","DA"
"577","DA"
"578","DA"
"579","DA"
"580","DA"
"581","DA"
"582","DA"
"583","DA"
"584","DA"
"585","DA"
"586","DA"
"587","DA"
"588","DA"
"589","DA"
"590","DA"
"591","DA"
"592","DA"
"593","DA"
"594","DA"
"595","DA"
"596","DA"
"597","DA"
"598","DA"
"599","DA"
"600","DA"
"601","DA"
"602","DA"
"603","DA"
"604","DA"
"605","DA"
"606","DA"
"607","DA"
"608","DA"
"609","DA"
"610","DA"
"611","DA"
"612","DA"
"613","DA"
"614","DA"
"615","DA"
"616","DA"
"617","DA"
"618","DA"
"619","DA"
"620","DA"
"621","DA"
"622","DA"
"623","DA"
"624","DA"
"625","DA"
"626","DA"
"627","DA"
"628","DA"
"629","DA"
"630","DA"
"631","DA"
"632","DA"
"633","DA"
"634","DA"
"635","DA"
"636","DA"
"637","DA"
"638","DA"
"639","DA"
"640","DA"
"641","DA"
"642","DA"
"643","DA"
"644","DA"
"645","DA"
"646","DA"
"647","DA"
"648","DA"
"649","DA"
"650","DA"
"651","DA"
"652","DA"
"653","DA"
"654","DA"
"655","DA"
"656","DA"
"657","DA"
"658","DA"
"659","DA"
"660","NE"
"661","DA"
"662","DA"
"663","DA"
"664","DA"
"665","DA"
"666","DA"
"667","DA"
"668","DA"
"669","DA"
"670","DA"
"671","DA"
"672","DA"
"673","DA"
"674","DA"
"675","DA"
"676","DA"
"677","DA"
"678","DA"
"679","DA"
"680","DA"
"681","DA"
"682","DA"
"683","DA"
"684","DA"
"685","DA"
"686","DA"
"687","DA"
"688","DA"
"689","DA"
"690","DA"
"691","DA"
"692","DA"
"693","DA"
"694","DA"
"695","DA"
"696","DA"
"697","DA"
"698","DA"
"699","DA"
"700","DA"
"701","DA"
"702","DA"
"703","DA"
"704","DA"
"705","DA"
"706","DA"
"707","DA"
"708","DA"
"709","DA"
"710","DA"
"711","DA"
"712","DA"
"713","DA"
"714","DA"
"715","DA"
"716","DA"
"717","DA"
"718","DA"
"719","DA"
"720","DA"
"721","DA"
"722","DA"
"723","DA"
"724","DA"
"725","DA"
"726","DA"
"727","DA"
"728","DA"
"729","DA"
"730","DA"
"731","DA"
"732","DA"
"733","DA"
"734","DA"
"735","DA"
"736","DA"
"737","DA"
"738","DA"
"739","DA"
"740","DA"
"741","DA"
"742","DA"
"743","DA"
"744","DA"
"745","DA"
"746","DA"
"747","DA"
"748","DA"
"749","DA"
"750","DA"
"751","DA"
"752","DA"
"753","DA"
"754","DA"
"755","DA"
"756","DA"
"757","DA"
"758","DA"
"759","DA"
"760","DA"
"761","DA"
"762","DA"
"763","DA"
"764","DA"
"765","DA"
"766","DA"
"767","DA"
"768","DA"
"769","DA"
"770","DA"
"771","DA"
"772","DA"
"773","DA"
"774","DA"
"775","DA"
"776","DA"
"777","DA"
"778","DA"
"779","DA"
"780","DA"
"781","DA"
"782","DA"
"783","DA"
"784","DA"
"785","DA"
"786","DA"
"787","DA"
"788","DA"
"789","DA"
"790","DA"
"791","DA"
"792","DA"
"793","DA"
"794","DA"
"795","DA"
"796","DA"
"797","DA"
"798","DA"
"799","DA"
"800","DA"
"801","DA"
"802","DA"
"803","DA"
"804","DA"
"805","DA"
"806","DA"
"807","DA"
"808","DA"
"809","DA"
"810","DA"
"811","DA"
"812","DA"
"813","DA"
"814","DA"
"815","DA"
"816","DA"
"817","DA"
"818","DA"
"819","DA"
"820","DA"
"821","DA"
"822","DA"
"823","DA"
"824","DA"
"825","DA"
"826","DA"
"827","DA"
"828","DA"
"829","DA"
"830","DA"
"831","DA"
"832","DA"
"833","DA"
"834","DA"
"835","DA"
"836","DA"
"837","DA"
"838","DA"
"839","DA"
"840","DA"
"841","DA"
"842","DA"
"843","DA"
"844","DA"
"845","DA"
"846","DA"
"847","DA"
"848","DA"
"849","DA"
"850","DA"
"851","DA"
"852","DA"
"853","DA"
"854","DA"
"855","DA"
"856","DA"
"857","DA"
"858","DA"
"859","DA"
"860","DA"
"861","DA"
"862","DA"
"863","DA"
"864","DA"
"865","DA"
"866","DA"
"867","DA"
"868","DA"
"869","DA"
"870","DA"
"871","DA"
"872","DA"
"873","DA"
"874","DA"
"875","DA"
"876","DA"
"877","DA"
"878","DA"
"879","DA"
"880","DA"
"881","DA"
"882","DA"
"883","DA"
"884","DA"
"885","DA"
"886","DA"
"887","DA"
"888","DA"
"889","DA"
"890","DA"
"891","DA"
"892","DA"
"893","DA"
"894","DA"
"895","DA"
"896","DA"
"897","DA"
"898","DA"
"899","DA"
"900","DA"
"901","DA"
"902","DA"
"903","DA"
"904","DA"
"905","DA"
"906","DA"
"907","DA"
"908","DA"
"909","DA"
"910","DA"
"911","DA"
"912","DA"
"913","DA"
"914","DA"
"915","DA"
"916","DA"
"917","DA"
"918","DA"
"919","DA"
"920","DA"
"921","DA"
"922","DA"
"923","DA"
"924","DA"
"925","DA"
"926","DA"
"927","DA"
"928","DA"
"929","DA"
"930","DA"
"931","DA"
"932","DA"
"933","DA"
"934","DA"
"935","DA"
"936","DA"
"937","DA"
"938","DA"
"939","DA"
"940","DA"
"941","DA"
"942","DA"
"943","DA"
"944","DA"
"945","DA"
"946","DA"
"947","DA"
"948","DA"
"949","DA"
"950","DA"
"951","DA"
"952","DA"
"953","DA"
"954","DA"
"955","DA"
"956","DA"
"957","DA"
"958","DA"
"959","DA"
"960","DA"
"961","DA"
"962","DA"
"963","DA"
"964","DA"
"965","DA"
"966","DA"
"967","DA"
"968","DA"
"969","DA"
"970","DA"
"971","DA"
"972","DA"
"973","DA"
"974","DA"
"975","DA"
"976","DA"
"977","DA"
"978","DA"
"979","DA"
"980","DA"
"981","DA"
"982","DA"
"983","DA"
"984","DA"
"985","DA"
"986","DA"
"987","DA"
"988","DA"
"989","DA"
"990","DA"
"991","DA"
"992","DA"
"993","DA"
"994","DA"
"995","DA"
"996","DA"
"997","DA"
"998","DA"
"999","DA"
"1000","DA"
"1001","DA"
"1002","DA"
"1003","DA"
"1004","DA"
"1005","DA"
"1006","DA"
"1007","DA"
"1008","DA"
"1009","DA"
"1010","DA"
"1011","DA"
"1012","DA"
"1013","DA"
"1014","DA"
"1015","DA"
"1016","DA"
"1017","DA"
"1018","DA"
"1019","DA"
"1020","DA"
"1021","DA"
"1022","NE"
"1023","NE"
"1024","DA"
"1025","DA"
"1026","DA"
"1027","DA"
"1028","DA"
"1029","DA"
"1030","DA"
"1031","DA"
"1032","DA"
"1033","DA"
"1034","DA"
"1035","DA"
"1036","DA"
"1037","DA"
"1038","DA"
"1039","DA"
"1040","DA"
"1041","NE"
"1042","DA"
"1043","DA"
"1044","DA"
"1045","DA"
"1046","DA"
"1047","DA"
"1048","DA"
"1049","DA"
"1050","DA"
"1051","DA"
"1052","DA"
"1053","DA"
"1054","DA"
"1055","DA"
"1056","DA"
"1057","DA"
"1058","DA"
"1059","DA"
"1060","DA"
"1061","DA"
"1062","DA"
"1063","DA"
"1064","DA"
"1065","DA"
"1066","DA"
"1067","DA"
"1068","DA"
"1069","DA"
"1070","DA"
"1071","DA"
"1072","DA"
"1073","DA"
"1074","DA"
"1075","DA"
"1076","DA"
"1077","DA"
"1078","DA"
"1079","DA"
"1080","DA"
"1081","DA"
"1082","DA"
"1083","DA"
"1084","DA"
"1085","DA"
"1086","DA"
"1087","NE"
"1088","DA"
"1089","DA"
"1090","DA"
"1091","DA"
"1092","DA"
"1093","DA"
"1094","DA"
"1095","DA"
"1096","DA"
"1097","DA"
"1098","DA"
"1099","DA"
"1100","DA"
"1101","DA"
"1102","DA"
"1103","DA"
"1104","DA"
"1105","DA"
"1106","DA"
"1107","DA"
"1108","DA"
"1109","DA"
"1110","DA"
"1111","NE"
"1112","DA"
"1113","DA"
"1114","DA"
"1115","DA"
"1116","DA"
"1117","DA"
"1118","DA"
"1119","DA"
"1120","DA"
"1121","DA"
"1122","DA"
"1123","DA"
"1124","DA"
"1125","DA"
"1126","DA"
"1127","DA"
"1128","DA"
"1129","DA"
"1130","DA"
"1131","DA"
"1132","DA"
"1133","DA"
"1134","DA"
"1135","DA"
"1136","DA"
"1137","DA"
"1138","DA"
"1139","DA"
"1140","DA"
"1141","DA"
"1142","DA"
"1143","DA"
"1144","DA"
"1145","DA"
"1146","DA"
"1147","DA"
"1148","DA"
"1149","DA"
"1150","DA"
"1151","DA"
"1152","DA"
"1153","DA"
"1154","DA"
"1155","DA"
"1156","DA"
"1157","DA"
"1158","DA"
"1159","DA"
"1160","DA"
"1161","DA"
"1162","DA"
"1163","DA"
"1164","DA"
"1165","DA"
"1166","DA"
"1167","DA"
"1168","DA"
"1169","DA"
"1170","DA"
"1171","DA"
"1172","DA"
"1173","DA"
"1174","DA"
"1175","DA"
"1176","DA"
"1177","DA"
"1178","DA"
"1179","DA"
"1180","DA"
"1181","DA"
"1182","DA"
"1183","DA"
"1184","DA"
"1185","DA"
"1186","DA"
"1187","DA"
"1188","DA"
"1189","DA"
"1190","DA"
"1191","DA"
"1192","DA"
"1193","DA"
"1194","DA"
"1195","DA"
"1196","DA"
"1197","DA"
"1198","DA"
"1199","DA"
"1200","DA"
"1201","DA"
"1202","DA"
"1203","DA"
"1204","DA"
"1205","DA"
"1206","DA"
"1207","DA"
"1208","DA"
"1209","DA"
"1210","DA"
"1211","DA"
"1212","DA"
"1213","DA"
"1214","DA"
"1215","DA"
"1216","DA"
"1217","DA"
"1218","DA"
"1219","DA"
"1220","DA"
"1221","DA"
"1222","DA"
"1223","DA"
"1224","DA"
"1225","DA"
"1226","NE"
"1227","DA"
"1228","DA"
"1229","DA"
"1230","DA"
"1231","DA"
"1232","DA"
"1233","DA"
"1234","DA"
"1235","DA"
"1236","DA"
"1237","DA"
"1238","DA"
"1239","DA"
"1240","DA"
"1241","DA"
"1242","DA"
"1243","DA"
"1244","DA"
"1245","DA"
"1246","DA"
"1247","DA"
"1248","DA"
"1249","DA"
"1250","DA"
"1251","DA"
"1252","DA"
"1253","DA"
"1254","DA"
"1255","DA"
"1256","DA"
"1257","DA"
"1258","DA"
"1259","DA"
"1260","DA"
"1261","DA"
"1262","DA"
"1263","DA"
"1264","DA"
"1265","DA"
"1266","DA"
"1267","DA"
"1268","DA"
"1269","DA"
"1270","DA"
"1271","DA"
"1272","DA"
"1273","DA"
"1274","DA"
"1275","DA"
"1276","DA"
"1277","DA"
"1278","DA"
"1279","DA"
"1280","DA"
"1281","DA"
"1282","DA"
"1283","DA"
"1284","DA"
"1285","DA"
"1286","DA"
"1287","DA"
"1288","DA"
"1289","DA"
"1290","DA"
"1291","DA"
"1292","DA"
"1293","DA"
"1294","DA"
"1295","DA"
"1296","DA"
"1297","DA"
"1298","DA"
"1299","DA"
"1300","DA"
"1301","DA"
"1302","DA"
"1303","DA"
"1304","DA"
"1305","DA"
"1306","DA"
"1307","DA"
"1308","DA"
"1309","DA"
"1310","DA"
"1311","DA"
"1312","DA"
"1313","DA"
"1314","DA"
"1315","DA"
"1316","DA"
"1317","DA"
"1318","DA"
"1319","DA"
"1320","DA"
"1321","DA"
"1322","DA"
"1323","DA"
"1324","NE"
"1325","DA"
"1326","DA"
"1327","DA"
"1328","DA"
"1329","DA"
"1330","DA"
"1331","DA"
"1332","DA"
"1333","DA"
"1334","DA"
"1335","NE"
"1336","DA"
"1337","DA"
"1338","DA"
"1339","DA"
"1340","DA"
"1341","DA"
"1342","DA"
"1343","DA"
"1344","DA"
"1345","DA"
"1346","DA"
"1347","DA"
"1348","DA"
"1349","DA"
"1350","DA"
"1351","DA"
"1352","DA"
"1353","DA"
"1354","DA"
"1355","DA"
"1356","DA"
"1357","DA"
"1358","DA"
"1359","DA"
"1360","NE"
"1361","DA"
"1362","DA"
"1363","DA"
"1364","DA"
"1365","DA"
"1366","DA"
"1367","DA"
"1368","DA"
"1369","DA"
"1370","DA"
"1371","DA"
"1372","DA"
"1373","DA"
"1374","NE"
"1375","DA"
"1376","DA"
"1377","DA"
"1378","DA"
"1379","DA"
"1380","DA"
"1381","DA"
"1382","DA"
"1383","DA"
"1384","DA"
"1385","DA"
"1386","DA"
"1387","DA"
"1388","DA"
"1389","DA"
"1390","DA"
"1391","DA"
"1392","DA"
"1393","DA"
"1394","DA"
"1395","DA"
"1396","DA"
"1397","DA"
"1398","DA"
"1399","DA"
"1400","DA"
"1401","DA"
"1402","DA"
"1403","DA"
"1404","DA"
"1405","NE"
"1406","DA"
"1407","DA"
"1408","DA"
"1409","DA"
"1410","DA"
"1411","DA"
"1412","DA"
"1413","DA"
"1414","DA"
"1415","DA"
"1416","DA"
"1417","DA"
"1418","DA"
"1419","DA"
"1420","DA"
"1421","DA"
"1422","DA"
"1423","DA"
"1424","DA"
"1425","DA"
"1426","DA"
"1427","DA"
"1428","DA"
"1429","DA"
"1430","DA"
"1431","DA"
"1432","DA"
"1433","NE"
"1434","DA"
"1435","DA"
"1436","DA"
"1437","DA"
"1438","DA"
"1439","DA"
"1440","DA"
"1441","DA"
"1442","DA"
"1443","DA"
"1444","DA"
"1445","DA"
"1446","DA"
"1447","DA"
"1448","DA"
"1449","DA"
"1450","DA"
"1451","DA"
"1452","DA"
"1453","DA"
"1454","DA"
"1455","DA"
"1456","DA"
"1457","DA"
"1458","NE"
"1459","DA"
"1460","DA"
"1461","DA"
"1462","DA"
"1463","DA"
"1464","DA"
"1465","DA"
"1466","DA"
"1467","DA"
"1468","DA"
"1469","DA"
"1470","DA"
"1471","DA"
"1472","DA"
"1473","DA"
"1474","DA"
"1475","DA"
"1476","DA"
"1477","DA"
"1478","DA"
"1479","DA"
"1480","DA"
"1481","DA"
"1482","DA"
"1483","DA"
"1484","DA"
"1485","DA"
"1486","DA"
"1487","DA"
"1488","DA"
"1489","DA"
"1490","DA"
"1491","DA"
"1492","DA"
"1493","DA"
"1494","DA"
"1495","DA"
"1496","DA"
"1497","DA"
"1498","DA"
"1499","DA"
"1500","DA"
"1501","DA"
"1502","DA"
"1503","DA"
"1504","DA"
"1505","DA"
"1506","DA"
"1507","DA"
"1508","DA"
"1509","DA"
"1510","DA"
"1511","DA"
"1512","DA"
"1513","DA"
"1514","DA"
"1515","DA"
"1516","DA"
"1517","DA"
"1518","DA"
"1519","DA"
"1520","DA"
"1521","DA"
"1522","DA"
"1523","DA"
"1524","DA"
"1525","DA"
"1526","DA"
"1527","DA"
"1528","DA"
"1529","DA"
"1530","DA"
"1531","DA"
"1532","DA"
"1533","DA"
"1534","DA"
"1535","DA"
"1536","DA"
"1537","DA"
"1538","DA"
"1539","DA"
"1540","DA"
"1541","DA"
"1542","DA"
"1543","DA"
"1544","DA"
"1545","DA"
"1546","DA"
"1547","DA"
"1548","DA"
"1549","DA"
"1550","DA"
"1551","DA"
"1552","DA"
"1553","DA"
"1554","DA"
"1555","DA"
"1556","DA"
"1557","DA"
"1558","DA"
"1559","DA"
"1560","DA"
"1561","DA"
"1562","DA"
"1563","DA"
"1564","DA"
"1565","DA"
"1566","DA"
"1567","DA"
"1568","DA"
"1569","DA"
"1570","DA"
"1571","DA"
"1572","DA"
"1573","DA"
"1574","DA"
"1575","DA"
"1576","DA"
"1577","DA"
"1578","DA"
"1579","DA"
"1580","DA"
"1581","DA"
"1582","DA"
"1583","DA"
"1584","DA"
"1585","DA"
"1586","NE"
"1587","DA"
"1588","DA"
"1589","DA"
"1590","DA"
"1591","DA"
"1592","DA"
"1593","DA"
"1594","DA"
"1595","DA"
"1596","DA"
"1597","DA"
"1598","DA"
"1599","DA"
"1600","DA"
"1601","DA"
"1602","DA"
"1603","DA"
"1604","DA"
"1605","DA"
"1606","DA"
"1607","DA"
"1608","DA"
"1609","DA"
"1610","DA"
"1611","DA"
"1612","DA"
"1613","DA"
"1614","DA"
"1615","DA"
"1616","DA"
"1617","DA"
"1618","DA"
"1619","DA"
"1620","DA"
"1621","DA"
"1622","DA"
"1623","DA"
"1624","DA"
"1625","DA"
"1626","DA"
"1627","DA"
"1628","DA"
"1629","DA"
"1630","DA"
"1631","DA"
"1632","DA"
"1633","DA"
"1634","DA"
"1635","DA"
"1636","DA"
"1637","DA"
"1638","DA"
"1639","DA"
"1640","DA"
"1641","DA"
"1642","DA"
"1643","DA"
"1644","DA"
"1645","DA"
"1646","DA"
"1647","DA"
"1648","DA"
"1649","DA"
"1650","DA"
"1651","DA"
"1652","DA"
"1653","DA"
"1654","DA"
"1655","DA"
"1656","DA"
"1657","DA"
"1658","DA"
"1659","DA"
"1660","DA"
"1661","DA"
"1662","DA"
"1663","DA"
"1664","DA"
"1665","DA"
"1666","DA"
"1667","DA"
"1668","DA"
"1669","DA"
"1670","DA"
"1671","DA"
"1672","NE"
"1673","DA"
"1674","DA"
"1675","DA"
"1676","DA"
"1677","DA"
"1678","DA"
"1679","DA"
"1680","DA"
"1681","DA"
"1682","DA"
"1683","DA"
"1684","DA"
"1685","DA"
"1686","DA"
"1687","DA"
"1688","DA"
"1689","DA"
"1690","DA"
"1691","DA"
"1692","DA"
"1693","DA"
"1694","DA"
"1695","DA"
"1696","DA"
"1697","DA"
"1698","DA"
"1699","DA"
"1700","DA"
"1701","DA"
"1702","DA"
"1703","NE"
"1704","DA"
"1705","DA"
"1706","DA"
"1707","DA"
"1708","DA"
"1709","DA"
"1710","DA"
"1711","DA"
"1712","DA"
"1713","DA"
"1714","DA"
"1715","DA"
"1716","DA"
"1717","DA"
"1718","DA"
"1719","DA"
"1720","DA"
"1721","DA"
"1722","DA"
"1723","DA"
"1724","NE"
"1725","DA"
"1726","NE"
"1727","DA"
"1728","DA"
"1729","DA"
"1730","DA"
"1731","DA"
"1732","DA"
"1733","DA"
"1734","DA"
"1735","DA"
"1736","DA"
"1737","DA"
"1738","DA"
"1739","NE"
"1740","DA"
"1741","DA"
"1742","DA"
"1743","DA"
"1744","DA"
"1745","DA"
"1746","DA"
"1747","DA"
"1748","DA"
"1749","DA"
"1750","DA"
"1751","DA"
"1752","DA"
"1753","DA"
"1754","DA"
"1755","DA"
"1756","DA"
"1757","DA"
"1758","DA"
"1759","DA"
"1760","DA"
"1761","DA"
"1762","DA"
"1763","DA"
"1764","DA"
"1765","DA"
"1766","DA"
"1767","DA"
"1768","DA"
"1769","DA"
"1770","DA"
"1771","DA"
"1772","DA"
"1773","DA"
"1774","DA"
"1775","DA"
"1776","DA"
"1777","DA"
"1778","DA"
"1779","DA"
"1780","DA"
"1781","DA"
"1782","DA"
"1783","DA"
"1784","DA"
"1785","DA"
"1786","DA"
"1787","DA"
"1788","DA"
"1789","DA"
"1790","DA"
"1791","DA"
"1792","DA"
"1793","DA"
"1794","DA"
"1795","DA"
"1796","DA"
"1797","DA"
"1798","DA"
"1799","DA"
"1800","DA"
"1801","DA"
"1802","DA"
"1803","DA"
"1804","DA"
"1805","DA"
"1806","DA"
"1807","DA"
"1808","DA"
"1809","DA"
"1810","DA"
"1811","DA"
"1812","DA"
"1813","DA"
"1814","DA"
"1815","DA"
"1816","DA"
"1817","DA"
"1818","DA"
"1819","DA"
"1820","DA"
"1821","DA"
"1822","DA"
"1823","DA"
"1824","DA"
"1825","DA"
"1826","DA"
"1827","DA"
"1828","DA"
"1829","DA"
"1830","DA"
"1831","DA"
"1832","DA"
"1833","DA"
"1834","DA"
"1835","DA"
"1836","DA"
"1837","DA"
"1838","DA"
"1839","DA"
"1840","DA"
"1841","DA"
"1842","DA"
"1843","DA"
"1844","DA"
"1845","DA"
"1846","DA"
"1847","DA"
"1848","DA"
"1849","DA"
"1850","DA"
"1851","DA"
"1852","DA"
"1853","DA"
"1854","DA"
"1855","DA"
"1856","DA"
"1857","DA"
"1858","DA"
"1859","DA"
"1860","DA"
"1861","DA"
"1862","DA"
"1863","DA"
"1864","DA"
"1865","DA"
"1866","DA"
"1867","DA"
"1868","DA"
"1869","DA"
"1870","DA"
"1871","DA"
"1872","DA"
"1873","DA"
